beat,start,end,duration_seconds,final_class,asset_id,asset_locator,provenance,rights_or_source,subtitle_safe,shot_lock,status
BM-B089,00:18:14.520,00:18:24.560,10.040,GFX,FX044,GFX_FINAL::FX044,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Quarter-century input comparison: 1966 column versus 1991 column; machine icon moves from optimal to oversized solution,LOCKED
BM-B090,00:18:25.700,00:18:34.400,8.700,RECONSTRUCTION,GEN20,RECON_FINAL::GEN20,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: Big Muskie newly idle in 1991, intact and silent on mine floor, subdued daylight, no dismantling yet",LOCKED
BM-B091,00:18:35.140,00:18:48.020,12.880,RECONSTRUCTION,GEN21,RECON_FINAL::GEN21,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: post-shutdown giant machine as immovable infrastructure problem, maintenance access and empty worksite emphasize burden",LOCKED
BM-B092,00:18:48.600,00:18:58.080,9.480,REAL,R05,SOURCE_ARCHIVE_V2_CLEAN::R05,HISTORICAL SOURCE,CC BY-SA 3.0 — Brian M. Powell,PASS — editorial reframe keeps essential subject above caption band,"Second and final R05 appearance: authentic 1999 pre-demolition side view, full frame with no extra hero-photo reuse",LOCKED
BM-B093,00:18:59.040,00:19:11.880,12.840,REAL_CONTEXT,C01,SOURCE_ARCHIVE_V2_CLEAN::C01,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Ohio Power farmland/strip-mined background; reclamation responsibility and land obligations composition,LOCKED
BM-B094,00:19:12.600,00:19:25.400,12.800,GFX,FX045,GFX_FINAL::FX045,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"AEP 1999 announcement represented as sourced text excerpt on warm-paper field with R05 reduced to a traced outline, not the source photo",LOCKED
BM-B095,00:19:26.600,00:19:40.220,13.620,GFX,FX046,GFX_FINAL::FX046,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Preservation feasibility square: funding / time / reclamation schedule / long-term liability, each constraint locks one corner",LOCKED
BM-B096,00:19:41.200,00:19:49.520,8.320,GFX,FX047,GFX_FINAL::FX047,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Countdown/schedule composition: preservation proposal window shrinks against reclamation timeline and cost bar,LOCKED
BM-B097,00:19:50.540,00:20:05.220,14.680,RECONSTRUCTION,GEN22,RECON_FINAL::GEN22,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: controlled 1999 dismantling in progress, cranes/support equipment separating major sections, no explosions or fantasy",LOCKED
BM-B098,00:20:05.920,00:20:13.680,7.760,REAL,R08,SOURCE_ARCHIVE_V2_CLEAN::R08,CURRENT PHOTO,CC BY-SA 3.0 — Eric Gunderson; re-verified on Wikimedia Commons 2026-09-24,PASS — editorial reframe keeps essential subject above caption band,Second and final R08 appearance: present-day bucket as saved monument immediately after dismantling beat,LOCKED
BM-B099,00:20:14.520,00:20:24.960,10.440,GFX,FX048,GFX_FINAL::FX048,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Before/after transition using vector traced shapes only: full machine outline collapses into isolated bucket outline,LOCKED
BM-B100,00:20:25.300,00:20:34.220,8.920,GFX,FX049,GFX_FINAL::FX049,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Component disappearance ledger: boom / tub / house / hoist / drag / swing fade out one at a time, bucket remains",LOCKED
BM-B101,00:20:35.140,00:20:46.180,11.040,REAL,R07,SOURCE_ARCHIVE_V2_CLEAN::R07,CURRENT PHOTO,CC BY-SA 3.0 — Eric Gunderson,PASS — editorial reframe keeps essential subject above caption band,Second and final R07 appearance: bucket detail with earth-contact surfaces/teeth as the surviving working interface,LOCKED
BM-B102,00:20:46.880,00:20:57.040,10.160,REAL,R09,SOURCE_ARCHIVE_V2_CLEAN::R09,CURRENT PHOTO,CC BY 2.0 — Charles Barilleaux,PASS — editorial reframe keeps essential subject above caption band,"Barilleaux bucket angle, wide memorial composition; first R09 use",LOCKED
BM-B103,00:20:57.860,00:21:08.600,10.740,GFX,FX050,GFX_FINAL::FX050,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Current-bucket scale graphic using measured vector silhouette and person/car references; no source photo visible,LOCKED
BM-B104,00:21:09.540,00:21:19.440,9.900,REAL,R09,SOURCE_ARCHIVE_V2_CLEAN::R09,CURRENT PHOTO,CC BY 2.0 — Charles Barilleaux,PASS — editorial reframe keeps essential subject above caption band,Second and final R09 appearance: different crop on bucket shell with ~240-ton empty figure,LOCKED
BM-B105,00:21:20.300,00:21:31.060,10.760,REAL,R10,SOURCE_ARCHIVE_V2_CLEAN::R10,CURRENT PHOTO,CC BY 2.0 — Charles Barilleaux,PASS — editorial reframe keeps essential subject above caption band,Current chain detail beside bucket-history caption; first R10 use,LOCKED
BM-B106,00:21:32.100,00:21:43.900,11.800,GFX,FX051,GFX_FINAL::FX051,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,HCEA surviving-parts composition: cable / chain / bucket-tooth icons sourced from text list; R10 not shown as HCEA’s exact artifact,LOCKED
BM-B107,00:21:44.560,00:21:53.940,9.380,REAL,R10,SOURCE_ARCHIVE_V2_CLEAN::R10,CURRENT PHOTO,CC BY 2.0 — Charles Barilleaux,PASS — editorial reframe keeps essential subject above caption band,Second and final R10 use: extreme material-detail crop transitions from surviving steel to landscape,LOCKED
BM-B108,00:21:54.280,00:22:06.120,11.840,REAL_CONTEXT,C01,SOURCE_ARCHIVE_V2_CLEAN::C01,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,"Second and final C01 use: wider farm/mined-land frame, map-outline overlay shows land as second monument",LOCKED
BM-B109,00:22:06.580,00:22:15.960,9.380,REAL,R11,SOURCE_ARCHIVE_V2_CLEAN::R11,CURRENT PHOTO,CC BY-SA 4.0 — Toni Leland,PASS — editorial reframe keeps essential subject above caption band,"Reclamation Land Ohio full-frame landscape, first use; current reclaimed terrain replaces machinery",LOCKED
BM-B110,00:22:16.720,00:22:30.720,14.000,REAL_CONTEXT,C12,SOURCE_ARCHIVE_V2_CLEAN::C12,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Second and final C12 use: Ohio Power recontoured/reseeded land with four historical-system inputs annotated around margins,LOCKED
BM-B111,00:22:31.600,00:22:43.020,11.420,GFX,FX052,GFX_FINAL::FX052,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,“Scale with a reason” equation assembles: demand × depth × geometry × technology → gigantic rational answer,LOCKED
BM-B112,00:22:44.100,00:22:55.540,11.440,REAL,R11,SOURCE_ARCHIVE_V2_CLEAN::R11,CURRENT PHOTO,CC BY-SA 4.0 — Toni Leland,PASS — editorial reframe keeps essential subject above caption band,"Second and final R11 use: alternate crop on reclaimed landscape with changing-obligations labels, no bucket photo",LOCKED
BM-B113,00:22:56.460,00:23:05.600,9.140,GFX,FX053,GFX_FINAL::FX053,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Present-day question composition built from clean vector bucket outline and empty surrounding space: “How could anyone build this?”,LOCKED
BM-B114,00:23:06.360,00:23:20.840,14.480,GFX,FX054,GFX_FINAL::FX054,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Final question composition: problem scale grows while machine silhouette first grows then disappears as inputs change,LOCKED
BM-B115,00:23:22.080,00:23:34.040,11.960,GFX,FX055,GFX_FINAL::FX055,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Particular-system/time montage made only from abstract timeline + landscape/machine silhouettes; avoids third use of R05/R11/bucket photos,LOCKED
BM-B116,00:23:34.040,00:23:46.400,12.360,REAL,R06,SOURCE_ARCHIVE_V2_CLEAN::R06,CURRENT PHOTO,CC BY-SA 4.0 — Toni Leland,PASS — editorial reframe keeps essential subject above caption band,Second and final R06 appearance: clean end-screen-safe bucket hold with empty right/upper space for end elements; picture hold extended 20 ms to canonical master end 23:46.400,LOCKED
