beat_id,start,end,duration_seconds,chapter,narration,asset_class,specific_asset_requirement,provenance,motion_editing,gfx,rights_qc,status
SAT-B051,00:08:52.911,00:09:01.271,8.36,ACT III — financing split and collapse,The analysis asked four practical questions. Would completion damage Bonneville's competitiveness?,GFX,"Four-question decision framework: competitiveness, need, alternatives, and risk, revealed one at a time from the sourced Bonneville analysis.",No historical label; cite the Bonneville source,"Four restrained branches enter sequentially, then hold as a complete decision frame.",None beyond captions unless a number/date named in narration materially improves comprehension.,Keep wording faithful to the source and narration. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B052,00:09:01.271,00:09:11.891,10.62,ACT III — financing split and collapse,Did the region need the power? How did Project Three compare with available alternatives? And what risks came with each choice?,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B053,00:09:11.891,00:09:28.091,16.2,ACT III — financing split and collapse,This is the human-scale center of the story. The project was no longer an abstract monument. Its remaining cost would flow through institutions to utilities and eventually to the people paying for electricity across the region.,CURRENT_BROLL,Cleared contemporary regional utility/customer imagery that connects wholesale decisions to ordinary ratepayers without implying a specific person's testimony.,No historical label; retain stock/creator attribution,"Two purposeful human-scale cuts; natural movement, no staged reaction close-up.",None beyond captions unless a number/date named in narration materially improves comprehension.,"Treat as illustrative present-day B-roll, not evidence of a named historical customer. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B054,00:09:28.091,00:09:40.211,12.12,ACT III — financing split and collapse,"Bonneville was already under pressure to control its rates. Its customers were considering other sources of power, and some indicated that they might pay a premium for greater independence.",DOCUMENT,"Bonneville source excerpt documenting competitiveness/rate pressure, paired with a restrained regional power-context background.",DOCUMENT while verified page is visible,"Static source crop with one highlighted clause, then hard cut away.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not generalize beyond the cited customer and rate context. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B055,00:09:40.211,00:09:48.871,8.66,ACT IV — preservation and the completion question,Completing Project Three could push Bonneville's costs upward at the same moment its customers were gaining alternatives.,GFX,"Minimal cost-pressure graphic: completion commitment rising while customer alternatives open, with no invented price series.",No historical label; cite source logic in manifest,Opposing directional lines timed to the two clauses; no dashboard UI.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Conceptual relationship only; do not fabricate quantitative axes. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B056,00:09:48.871,00:09:56.851,7.98,ACT IV — preservation and the completion question,That is how a decision inside a federal power agency reaches a household or a small business.,CURRENT_BROLL,Cleared contemporary regional utility/customer imagery that connects wholesale decisions to ordinary ratepayers without implying a specific person's testimony.,No historical label; retain stock/creator attribution,"Two purposeful human-scale cuts; natural movement, no staged reaction close-up.",None beyond captions unless a number/date named in narration materially improves comprehension.,"Treat as illustrative present-day B-roll, not evidence of a named historical customer. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B057,00:09:56.851,00:10:04.771,7.92,ACT IV — preservation and the completion question,Not as a cooling tower. As a rate. The past two point six billion dollars could not answer those questions.,GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B058,00:10:04.771,00:10:20.911,16.14,ACT IV — preservation and the completion question,That money was already gone. Only the next commitment could still be changed. Bonneville compared Project Three with natural-gas combined-cycle generation — plants using gas and steam turbines together.,TECH_GFX,Source-grounded simplified plant/system diagram showing only the components named in narration.,DOCUMENT if a verified drawing is visible; otherwise no historical label,Component-by-component reveal; no decorative gauges or invented engineering detail.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Do not depict either Satsop unit as fueled, operating, or completed. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B059,00:10:20.911,00:10:32.011,11.1,ACT IV — preservation and the completion question,The 1994 exhibits modeled Project Three at twelve hundred and forty megawatts. The combined-cycle reference was two hundred and forty megawatts.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B060,00:10:32.011,00:10:44.351,12.34,ACT IV — preservation and the completion question,"That difference mattered. Combined-cycle resources could be built in smaller increments, letting Bonneville match new supply more closely to actual load growth.",ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B061,00:10:44.351,00:10:57.551,13.2,ACT IV — preservation and the completion question,"Bonneville's assumptions also gave the combined-cycle alternative a shorter construction lead time: three years, compared with five years for restarting and completing Project Three.",ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B062,00:10:57.551,00:11:10.851,13.3,ACT IV — preservation and the completion question,The comparison was not one giant replacement plant against one giant nuclear plant. Bonneville could add combined-cycle capacity in smaller units as demand appeared.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B063,00:11:10.851,00:11:21.331,10.48,ACT IV — preservation and the completion question,The agency could shape and dispatch that output more flexibly around a hydroelectric system whose generation changed with water conditions.,MAP_GFX,Regional hydro-system/load-shaping map showing variable water-driven generation and modular combined-cycle additions without inventing plant locations.,No historical label; cite system/load sources,Water-generation band changes while modular supply blocks enter; restrained and explanatory.,None beyond captions unless a number/date named in narration materially improves comprehension.,Do not imply exact dispatch quantities beyond the cited comparison. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B064,00:11:21.331,00:11:29.291,7.96,ACT IV — preservation and the completion question,More of a combined-cycle plant's costs were variable and avoidable when it was not producing power.,GFX,Fixed-versus-variable cost graphic showing why non-producing combined-cycle capacity avoided more cost than Project Three.,No historical label; cite Bonneville comparison,Two cost stacks separate into avoidable and continuing portions.,None beyond captions unless a number/date named in narration materially improves comprehension.,Conceptual proportions only unless exact values are sourced. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B065,00:11:29.291,00:11:36.939,7.648,ACT IV — preservation and the completion question,Project Three carried a larger share of fixed costs that Bonneville would owe regardless of production.,GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B066,00:11:36.939,00:11:46.198,9.259,ACT IV — preservation and the completion question,"The gas option had risks, including fuel prices and possible carbon costs. Bonneville recorded those too.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B067,00:11:46.198,00:11:57.468,11.27,ACT IV — preservation and the completion question,This matters because the 1994 decision was not a claim that combined-cycle power was risk-free or that nuclear generation had no advantages.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B068,00:11:57.468,00:12:06.998,9.53,ACT IV — preservation and the completion question,It was a comparison of which risks Bonneville was willing and able to carry. But it offered something Project Three could not.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B069,00:12:06.998,00:12:19.158,12.16,ACT IV — preservation and the completion question,"Flexibility. An earlier study put the base estimate to complete Project Three at another one point five five billion dollars, in 1993 dollars.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B070,00:12:19.158,00:12:28.418,9.26,ACT IV — preservation and the completion question,Bonneville also tested lower and higher cases. Combined cycle was cheaper than the base and high Project Three cases.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B071,00:12:28.418,00:12:38.288,9.87,ACT IV — preservation and the completion question,"In the low-cost case, Project Three became comparable over its operating life. But comparable lifetime cost was not enough.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B072,00:12:38.288,00:12:49.158,10.87,ACT V — Bonneville's risk decision,"In Bonneville's base case, completing Project Three exposed the agency to nearly three times as much capital at risk as the combined-cycle alternative.",GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B073,00:12:49.158,00:13:00.978,11.82,ACT V — Bonneville's risk decision,This comparison measured what would be lost if the resources were terminated early. Even the low Project Three case carried double the capital at risk.,GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B074,00:13:00.978,00:13:17.108,16.13,ACT V — Bonneville's risk decision,Then came the need question. Bonneville projected that Project Three's full twelve hundred and forty-megawatt output would create about six hundred average megawatts of surplus power even under its high-load forecast.,TECH_GFX,Source-grounded simplified plant/system diagram showing only the components named in narration.,DOCUMENT if a verified drawing is visible; otherwise no historical label,Component-by-component reveal; no decorative gauges or invented engineering detail.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Do not depict either Satsop unit as fueled, operating, or completed. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B075,00:13:17.108,00:13:27.618,10.51,ACT V — Bonneville's risk decision,"If all that surplus could be sold at Bonneville's Priority Firm rate, the agency still estimated a deficit of roughly two hundred million dollars per year.",GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B076,00:13:27.618,00:13:40.418,12.8,ACT V — Bonneville's risk decision,The project could work technically and still fail economically. It could generate every megawatt promised and create a financial problem because too much capacity arrived at once.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B077,00:13:40.418,00:13:48.148,7.73,ACT V — Bonneville's risk decision,That is what the cooling towers conceal. Megaprojects are usually judged by whether engineers can finish them.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B078,00:13:48.148,00:13:57.138,8.99,ACT V — Bonneville's risk decision,Project Three also had to survive a second test: whether the system around it could use and pay for what it produced.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B079,00:13:57.138,00:14:06.888,9.75,ACT V — Bonneville's risk decision,This was the answer hidden behind the seventy-four-percent number. The project was mostly built. The region did not need all of its power.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B080,00:14:06.888,00:14:15.808,8.92,ACT V — Bonneville's risk decision,And finishing it would concentrate far more capital in one decision than the alternative. Project Three still had real advantages.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B081,00:14:15.808,00:14:26.688,10.88,ACT V — Bonneville's risk decision,Much of it existed. Major siting permits were in place. Nuclear generation would not face combustion limits on carbon dioxide or sulfur dioxide.,DOCUMENT,Verified siting/permit record paired with an authenticated construction-state image; show existing advantages without implying readiness to operate.,DOCUMENT for the record; HISTORICAL SOURCE only for authenticated period image,Hard cut from permit excerpt to one period structural detail.,None beyond captions unless a number/date named in narration materially improves comprehension.,Existing permits and structures must not be framed as proof the plant was operationally complete. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B082,00:14:26.688,00:14:42.928,16.24,ACT V — Bonneville's risk decision,"Bonneville acknowledged those points. It also listed uncertainty in completion cost, upgrades after years of preservation, operating performance, maintenance, waste, decommissioning, regulation, and public opposition.",GFX,"Source-grounded risk field grouping completion, upgrades, operations, maintenance, waste, decommissioning, regulation, and opposition.",No historical label; cite Bonneville source,"Risks enter in three semantic groups, then resolve to one cumulative field.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not assign invented weights or probabilities. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B083,00:14:42.928,00:14:57.088,14.16,ACT V — Bonneville's risk decision,Bonneville examined other possibilities. It considered repowering Project Three as a gas-fired combined-cycle plant and found no clear economic advantage over building a new one.,TECH_GFX,"Conceptual site/system comparison between repowering the existing site and a new combined-cycle plant, limited to options actually examined.",CONCEPT,Simple side-by-side system blocks; no photoreal unbuilt plant.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply the repowering concept was selected or engineered for construction. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B084,00:14:57.088,00:15:10.628,13.54,ACT V — Bonneville's risk decision,It considered whether a third party might use the site. None of those possibilities justified Bonneville continuing to finance preservation for nuclear completion under the existing agreements.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B085,00:15:10.628,00:15:26.368,15.74,ACT V — Bonneville's risk decision,"In May 1994, the Bonneville administrator made the final determination. Neither continued preservation nor completion under the existing agreements was in the best interest of Bonneville and the region's ratepayers.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B086,00:15:26.368,00:15:35.248,8.88,ACT V — Bonneville's risk decision,Project Three was terminated in June. Not because seventy-four percent had disappeared. Because seventy-four percent described the past.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B087,00:15:35.248,00:15:43.608,8.36,ACT V — Bonneville's risk decision,The decision had to describe the future. A megaproject does not end on a single date.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B088,00:15:43.608,00:15:54.888,11.28,ACT V — Bonneville's risk decision,Project Five was terminated in 1982. The Project Four and Five bonds defaulted in 1983. Project Three construction stopped in 1983.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B089,00:15:54.888,00:16:05.468,10.58,ACT V — Bonneville's risk decision,Its completion option ended in 1994. The Nuclear Regulatory Commission revoked its construction permit in January 1999.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B090,00:16:05.468,00:16:16.488,11.02,ACT V — Bonneville's risk decision,"Property, remediation, and debt moved on different schedules. The permit clock asked whether nuclear construction could legally continue.",ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B091,00:16:16.488,00:16:26.208,9.72,ACT V — Bonneville's risk decision,The property clock asked who would own and maintain the buildings. The debt clock followed financing agreements created years earlier.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B092,00:16:26.208,00:16:34.328,8.12,ACT V — Bonneville's risk decision,The redevelopment clock asked whether land and infrastructure designed for one purpose could support another.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",None beyond captions unless a number/date named in narration materially improves comprehension.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B093,00:16:34.328,00:16:43.288,8.96,ACT V — Bonneville's risk decision,Energy Northwest — the later name of the Supply System — still carried Project Three debt-related budgeting decades after termination.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B094,00:16:43.288,00:16:54.088,10.8,ACT V — Bonneville's risk decision,"Its fiscal-year twenty twenty-one budget covered financing obligations and debt administration, not new construction or plant operation.",ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B095,00:16:54.088,00:17:02.048,7.96,ACT V — Bonneville's risk decision,Concrete is visible. Contracts are not. Both can survive the moment work stops.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B096,00:17:02.048,00:17:12.248,10.2,"ACT VI — transfer, reuse, and meaning","In 1995, Grays Harbor County, the Port of Grays Harbor, and the local public utility district formed the Satsop Redevelopment Project.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B097,00:17:12.248,00:17:19.568,7.32,"ACT VI — transfer, reuse, and meaning",Transfer of the Project Three property and facilities was completed during fiscal year 2000.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B098,00:17:19.568,00:17:31.679,12.111,"ACT VI — transfer, reuse, and meaning",The nuclear investment could not be recovered by pretending the reactor still made sense. But parts of the industrial site had value outside the original plan.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B099,00:17:31.679,00:17:40.561,8.882,"ACT VI — transfer, reuse, and meaning",Roads. Large buildings. Electrical connections. Water and wastewater systems. Transmission access.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
