beat,start,end,duration,section,shorts_relation,final_mode,asset_ids,source_ids,rights_status,stage8_note,narration
LP-B078,00:14:12.620,00:14:24.520,11.900,11,SHORT-05,GFX,,LP-S03;LP-S16,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,"Today, Jefferson Island Storage & Hub operates as a salt-cavern natural-gas storage facility. One Oak says the facility connects with eight major pipelines."
LP-B079,00:14:25.540,00:14:36.500,10.960,11,SHORT-05,MAP,,LP-S03;LP-S05;LP-S16,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,That does not mean today's storage system is the old mine. It means the same geological feature that created one industrial economy continued to support another.
LP-B080,00:14:37.560,00:14:43.180,5.620,11,SHORT-05,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,The industrial use of Jefferson Island's underground did not disappear. It changed.
LP-B081,00:14:44.440,00:14:55.760,11.320,12,—,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,"Before November 20, 1980, Lake Peigneur looked like a surface landscape. Water. Trees. Gardens. A drilling platform."
LP-B082,00:14:56.720,00:15:09.820,13.100,12,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,The dangerous map was the one underneath it. Mine levels cut through salt. A drilling path descending from above. Two industries occupying the same three-dimensional space.
LP-B083,00:15:10.740,00:15:21.840,11.100,12,—,GFX,,LP-S01;LP-S03,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,"When those worlds became connected, gravity and salt amplified the failure. The mine flooded. The shoreline collapsed. The canal reversed."
LP-B084,00:15:22.860,00:15:33.940,11.080,12,—,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,And every person underground still made it out. Investigators could study what remained. They could estimate locations. They could test competing explanations.
LP-B085,00:15:34.880,00:15:44.860,9.980,12,—,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,But part of the evidence had vanished inside the event itself. That is why Lake Peigneur survives as more than a bizarre engineering story.
LP-B086,00:15:45.840,00:15:56.380,10.540,12,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,The visible landscape was only one layer of the system. The decisive infrastructure was hidden. Lake Peigneur is remembered because a lake disappeared.
LP-B087,00:15:57.420,00:16:08.080,10.660,12,—,GFX,,LP-S01;LP-S03,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,The deeper lesson is why. Infrastructure does not stop at the surface. And the systems we cannot see can be the systems that matter most.
